도서·음반goojae/// Length:(1473, 286)/// Accuracy: 0.7861507133165347
도서·음반jojung/// Length:(1473, 286)/// Accuracy: 0.8329938897775778
정보통신기기goojae/// Length:(10006, 408)/// Accuracy: 0.7766786570743405
정보통신기기jojung/// Length:(10006, 408)/// Accuracy: 0.7050359712230215
가구goojae/// Length:(2978, 267)/// Accuracy: 0.7935548841893253
가구jojung/// Length:(2978, 267)/// Accuracy: 0.8620342396777442
농·수·축산용품goojae/// Length:(119, 162)/// Accuracy: 0.85
농·수·축산용품jojung/// Length:(119, 162)/// Accuracy: 0.875
기계류기타물품goojae/// Length:(574, 196)/// Accuracy: 0.8020833333333334
기계류기타물품jojung/// Length:(574, 196)/// Accuracy: 0.8020833333333334
광열·수도goojae/// Length:(218, 163)/// Accuracy: 0.6986301394358073
광열·수도jojung/// Length:(218, 163)/// Accuracy: 0.9726027397260274
의료서비스goojae/// Length:(1773, 419)/// Accuracy: 0.8426395941103372
의료서비스jojung/// Length:(1773, 419)/// Accuracy: 0.9864636209813875
스포츠·레저·취미용품goojae/// Length:(1943, 310)/// Accuracy: 0.8132716049382716
스포츠·레저·취미용품jojung/// Length:(1943, 310)/// Accuracy: 0.8703703703703703
식생활기기goojae/// Length:(2115, 243)/// Accuracy: 0.6780141843971631
식생활기기jojung/// Length:(2115, 243)/// Accuracy: 0.6723404255319149
기타서비스goojae/// Length:(2769, 378)/// Accuracy: 0.7326839826839827
기타서비스jojung/// Length:(2769, 378)/// Accuracy: 0.8928571436312291
문화용품goojae/// Length:(4070, 373)/// Accuracy: 0.7317612380689791
문화용품jojung/// Length:(4070, 373)/// Accuracy: 0.7332350775083375
금융goojae/// Length:(4517, 367)/// Accuracy: 0.8087649402390438
금융jojung/// Length:(4517, 367)/// Accuracy: 0.849269588313413
정보통신서비스goojae/// Length:(19128, 559)/// Accuracy: 0.7429825937334826
정보통신서비스jojung/// Length:(19128, 559)/// Accuracy: 0.6514034812794746
문화·오락서비스goojae/// Length:(7983, 505)/// Accuracy: 0.8229988726266835
문화·오락서비스jojung/// Length:(7983, 505)/// Accuracy: 0.8365276211950394
